text,labels,confidence,source,iab_label
shia labeouf escorted broadway theatre disorderly,,0.49,natural,IAB1 Arts & Entertainment
best mtv movie awards moments courtesy young hollywood class,,0.49,natural,IAB1 Arts & Entertainment
star wars episode vii lead role 5 diverse actors,,0.49,natural,IAB1 Arts & Entertainment
disney parks refutes lawsuit claiming discrimination autistic kids,,0.49,natural,IAB1 Arts & Entertainment
noah rains divergent muppets win box office,,0.49,natural,IAB1 Arts & Entertainment
sharknado 2 second one premiere nearly triples originals ratings sets,,0.49,natural,IAB1 Arts & Entertainment
recap game thrones season 4 episode 6 laws gods men,,0.49,natural,IAB1 Arts & Entertainment
maleficent sneak peek debut disney parks,,0.49,natural,IAB1 Arts & Entertainment
hollywood walk fame kate winslet gets star,,0.49,natural,IAB1 Arts & Entertainment
transformers crushes tammy evil lead weekend box office,,0.49,natural,IAB1 Arts & Entertainment
ryan gosling looks perfect promoting lost river cannes film festival,,0.49,natural,IAB1 Arts & Entertainment
jennifer lopez tweets new album cover photo,,0.49,natural,IAB1 Arts & Entertainment
check nirvanas performance featuring joan jett lorde st vincent,,0.49,natural,IAB1 Arts & Entertainment
fords injury delays star wars shoot,,0.49,natural,IAB1 Arts & Entertainment
lol star wars spin writer gary whitta goes hilarious rant,,0.49,natural,IAB1 Arts & Entertainment
temples played fallon watch free river rocks surf lodge shows,,0.49,natural,IAB1 Arts & Entertainment
beyonce surprises coachella crowd joining sister solange onstage,,0.49,natural,IAB1 Arts & Entertainment
20 hot coachella moments justin bieber mary j blige slash day 3,,0.49,natural,IAB1 Arts & Entertainment
video anna kendrick channels disney princesses snl,,0.49,natural,IAB1 Arts & Entertainment
game thrones screening draws thousands,,0.49,natural,IAB1 Arts & Entertainment
electric effects amazing spiderman 2,,0.49,natural,IAB1 Arts & Entertainment
hollywood icon mickey rooney dies 93,,0.49,natural,IAB1 Arts & Entertainment
glee star lea michele pregnant twitter account hacked,,0.49,natural,IAB1 Arts & Entertainment
worth making amazing spiderman 3,,0.49,natural,IAB1 Arts & Entertainment
coachella 2014 outkast reunite celebs rock,,0.49,natural,IAB1 Arts & Entertainment
game thrones heartthrob kit harington talks dating dragons,,0.49,natural,IAB1 Arts & Entertainment
cincinnati plays host beyonce jayz concert among others,,0.49,natural,IAB1 Arts & Entertainment
new game thrones season 4 trailer worlds fallen apart,,0.49,natural,IAB1 Arts & Entertainment
watch pharrell perform saturday night live,,0.49,natural,IAB1 Arts & Entertainment
woody allens smash broadway opening films oscar winner dianne wiest,,0.49,natural,IAB1 Arts & Entertainment
passenger stuck las vegas airport makes celine dion music video,,0.49,natural,IAB1 Arts & Entertainment
steven spielbergs halo tv series set fall 2015,,0.49,natural,IAB1 Arts & Entertainment
divergent rakes 49 million box office,,0.49,natural,IAB1 Arts & Entertainment
breaking bad cleans modern family takes top honors 2014 emmys,,0.49,natural,IAB1 Arts & Entertainment
chris martins new album ghost stories heartbroken homage exwife,,0.49,natural,IAB1 Arts & Entertainment
lawsuit accuses three entertainment figures sex abuse,,0.49,natural,IAB1 Arts & Entertainment
george lucas picks chicago location star wars museum,,0.49,natural,IAB1 Arts & Entertainment
eurovision gets book records,,0.49,natural,IAB1 Arts & Entertainment
xmen days future past dominates holiday box office 91m,,0.49,natural,IAB1 Arts & Entertainment
One of the most significant ways that technology has impacted the entertainment industry is by making it more accessible.,,0.49,synthetic,IAB1 Arts & Entertainment
music industry joins legal,,0.49,natural,IAB1 Arts & Entertainment
theres new harry potter story jk rowling,,0.49,natural,IAB1 Arts & Entertainment
amazing spiderman 2 reviewed,,0.49,natural,IAB1 Arts & Entertainment
Another way that technology has impacted the entertainment industry is by making it more interactive.,,0.49,synthetic,IAB1 Arts & Entertainment
comiccon celebrates batmans birthday,,0.49,natural,IAB1 Arts & Entertainment
bert coopers big dance number highlight best mad men,,0.49,natural,IAB1 Arts & Entertainment
new maleficent trailer teases fairies dragons call fight,,0.49,natural,IAB1 Arts & Entertainment
archie comic book character die july issue life archie,,0.49,natural,IAB1 Arts & Entertainment
coachella 2014 kid cudi turns main stage big party,,0.49,natural,IAB1 Arts & Entertainment
justin bieber crashes drake bells album release party top twitter,,0.49,natural,IAB1 Arts & Entertainment
taylor swift makes money artist music industry,,0.49,natural,IAB1 Arts & Entertainment
kevin bacon recreates footloose dance tonight show,,0.49,natural,IAB1 Arts & Entertainment
abc order agent carter tv series,,0.49,natural,IAB1 Arts & Entertainment
captain america tops box office 3rd week,,0.49,natural,IAB1 Arts & Entertainment
conchita wurst goes eurovision 2014 grand final,,0.49,natural,IAB1 Arts & Entertainment
transformers 4 blasts top n american box office,,0.49,natural,IAB1 Arts & Entertainment
glasgow student crystal clarke lands role new star wars film,,0.49,natural,IAB1 Arts & Entertainment
allison williams allison williams play peter pan live musical tv special,,0.49,natural,IAB1 Arts & Entertainment
