text,iab_label,confidence
in stock wireless headphones at AliExpress,IAB22 Shopping,0.8
Costco yoga mat deals,IAB22 Shopping,0.8
makeup kit from Shein on sale,IAB22 Shopping,0.8
eBay sneakers deals,IAB22 Shopping,0.8
power bank from Shein on sale,IAB22 Shopping,0.8
Walmart office chair deals,IAB22 Shopping,0.8
coffee maker on sale Amazon,IAB22 Shopping,0.8
smartwatch from Walmart on sale,IAB22 Shopping,0.8
hair dryer from Zara on sale,IAB22 Shopping,0.8
top rated office chair at AliExpress,IAB22 Shopping,0.8
Bluetooth speaker from Walmart on sale,IAB22 Shopping,0.8
coffee maker from Amazon on sale,IAB22 Shopping,0.8
Shein air fryer deals,IAB22 Shopping,0.8
Zara kitchen organizer deals,IAB22 Shopping,0.8
coffee maker from AliExpress on sale,IAB22 Shopping,0.8
Amazon laptop stand deals,IAB22 Shopping,0.8
LED lights in stock Target,IAB22 Shopping,0.8
desk lamp from Costco on sale,IAB22 Shopping,0.8
winter jacket best Shein,IAB22 Shopping,0.8
free delivery power bank at Etsy,IAB22 Shopping,0.8
Best Buy makeup kit deals,IAB22 Shopping,0.8
Zara sneakers deals,IAB22 Shopping,0.8
winter jacket affordable Best Buy,IAB22 Shopping,0.8
free delivery winter jacket at Zara,IAB22 Shopping,0.8
coffee maker from eBay on sale,IAB22 Shopping,0.8
makeup kit from Target on sale,IAB22 Shopping,0.8
sneakers free delivery Amazon,IAB22 Shopping,0.8
cheap coffee maker at eBay,IAB22 Shopping,0.8
affordable coffee maker at eBay,IAB22 Shopping,0.8
clearance makeup kit at Shein,IAB22 Shopping,0.8
Shein smartwatch deals,IAB22 Shopping,0.8
buy now LED lights at Etsy,IAB22 Shopping,0.8
AliExpress smartwatch deals,IAB22 Shopping,0.8
eBay gaming mouse deals,IAB22 Shopping,0.8
office chair clearance Zara,IAB22 Shopping,0.8
AliExpress power bank deals,IAB22 Shopping,0.8
best yoga mat at Zara,IAB22 Shopping,0.8
coffee maker from Walmart on sale,IAB22 Shopping,0.8
smartwatch from Amazon on sale,IAB22 Shopping,0.8
hair dryer from Shein on sale,IAB22 Shopping,0.8
Etsy makeup kit deals,IAB22 Shopping,0.8
office chair top rated Etsy,IAB22 Shopping,0.8
under $50 power bank at Walmart,IAB22 Shopping,0.8
coffee maker from Costco on sale,IAB22 Shopping,0.8
sneakers trending Shein,IAB22 Shopping,0.8
smartwatch top rated Amazon,IAB22 Shopping,0.8
trending Bluetooth speaker at Zara,IAB22 Shopping,0.8
winter jacket under $50 Costco,IAB22 Shopping,0.8
Best Buy sneakers deals,IAB22 Shopping,0.8
affordable desk lamp at eBay,IAB22 Shopping,0.8
under $50 kitchen organizer at Zara,IAB22 Shopping,0.8
yoga mat from Best Buy on sale,IAB22 Shopping,0.8
Etsy yoga mat deals,IAB22 Shopping,0.8
hair dryer top rated Target,IAB22 Shopping,0.8
best hair dryer at Target,IAB22 Shopping,0.8
power bank from Costco on sale,IAB22 Shopping,0.8
hair dryer best Walmart,IAB22 Shopping,0.8
hair dryer from AliExpress on sale,IAB22 Shopping,0.8
Best Buy desk lamp deals,IAB22 Shopping,0.8
winter jacket popular eBay,IAB22 Shopping,0.8
best office chair at AliExpress,IAB22 Shopping,0.8
eBay kitchen organizer deals,IAB22 Shopping,0.8
buy now power bank at Amazon,IAB22 Shopping,0.8
gaming mouse from AliExpress on sale,IAB22 Shopping,0.8
office chair under $50 Zara,IAB22 Shopping,0.8
Etsy smartwatch deals,IAB22 Shopping,0.8
buy now air fryer at Etsy,IAB22 Shopping,0.8
Zara air fryer deals,IAB22 Shopping,0.8
in stock LED lights at Costco,IAB22 Shopping,0.8
Amazon sneakers deals,IAB22 Shopping,0.8
yoga mat under $50 Amazon,IAB22 Shopping,0.8
Shein face moisturizer deals,IAB22 Shopping,0.8
winter jacket from AliExpress on sale,IAB22 Shopping,0.8
laptop stand from Best Buy on sale,IAB22 Shopping,0.8
popular smartwatch at Shein,IAB22 Shopping,0.8
gaming mouse from Amazon on sale,IAB22 Shopping,0.8
popular wireless headphones at Etsy,IAB22 Shopping,0.8
Costco makeup kit deals,IAB22 Shopping,0.8
makeup kit best Etsy,IAB22 Shopping,0.8
LED lights top rated Target,IAB22 Shopping,0.8
eBay smartwatch deals,IAB22 Shopping,0.8
LED lights from Best Buy on sale,IAB22 Shopping,0.8
Zara winter jacket deals,IAB22 Shopping,0.8
laptop stand from Walmart on sale,IAB22 Shopping,0.8
Costco office chair deals,IAB22 Shopping,0.8
winter jacket from Etsy on sale,IAB22 Shopping,0.8
desk lamp from Zara on sale,IAB22 Shopping,0.8
coffee maker free delivery Walmart,IAB22 Shopping,0.8
affordable coffee maker at Shein,IAB22 Shopping,0.8
Bluetooth speaker from Etsy on sale,IAB22 Shopping,0.8
LED lights from Etsy on sale,IAB22 Shopping,0.8
wireless headphones from Zara on sale,IAB22 Shopping,0.8
winter jacket fast shipping Walmart,IAB22 Shopping,0.8
Amazon LED lights deals,IAB22 Shopping,0.8
Zara LED lights deals,IAB22 Shopping,0.8
office chair from AliExpress on sale,IAB22 Shopping,0.8
gaming mouse trending Zara,IAB22 Shopping,0.8
winter jacket from Costco on sale,IAB22 Shopping,0.8
popular winter jacket at Etsy,IAB22 Shopping,0.8
kitchen organizer from Walmart on sale,IAB22 Shopping,0.8
