text,labels,confidence
i need you to book me a flight from ft lauderdale to houston on southwest,IAB20 Travel,0.82
how do i change my oil and what kind do i need,IAB2 Automotive,0.86
how healthy are french fries,IAB7 Health & Fitness,0.84
i'd like to have everything on my shopping list,IAB22 Shopping,1.0
can you please start my car,IAB2 Automotive,0.87
i need someone to look at my car and tell me why the light is on,IAB2 Automotive,0.98
share my location with ben and jerry,IAB16 Pets,0.82
tell lydia and laura where i am located,IAB16 Pets,0.86
what's the deal with my health care,IAB2 Automotive,0.8
what is the tax amount,IAB13 Personal Finance,0.85
what is that tax form that shows my wages and where do i get it,IAB13 Personal Finance,0.89
how much is my gas bill,IAB2 Automotive,0.92
i need a recipe on how to make beef stew,IAB8 Food & Drink,0.87
"ai, where do i go to order checks for my usbank account",IAB22 Shopping,0.93
when's the last time i got a paycheck,IAB13 Personal Finance,0.85
let me know the rules for carry ons for continental,IAB2 Automotive,0.9
do you know my credit score,IAB13 Personal Finance,0.98
i need to know the things on my shopping list,IAB22 Shopping,0.88
what interest rate will regions give me,IAB9 Hobbies & Interests,0.84
are there any specific shots i should get before traveling to england,IAB20 Travel,0.87
does japan have any travel alerts i should be aware of,IAB20 Travel,0.82
when do i need to get an oil change,IAB2 Automotive,0.86
what's the status of my united flight,IAB20 Travel,0.89
what were my purchases on visa card last month,IAB2 Automotive,0.96
are there any travel alerts in that region,IAB20 Travel,0.9
i'd like to make a vacation request,IAB16 Pets,0.93
how many calories do cheetos have,IAB8 Food & Drink,0.91
what day is my car insurance due,IAB2 Automotive,0.9
send my location to ben and jerry,IAB16 Pets,0.87
my credit score is,IAB13 Personal Finance,0.96
when did i most recently have my car in the shop,IAB2 Automotive,0.95
i must find the interest rate for my checking account,IAB9 Hobbies & Interests,0.99
will i be charged if i use the card in germany,IAB2 Automotive,0.84
what is the mpg like for this car while driving in the city,IAB2 Automotive,0.96
where can i get a w2 form from,IAB13 Personal Finance,0.97
tell me interesting facts about lighthouses,IAB21 Real Estate,0.87
do i have get an oil change on my todo list,IAB2 Automotive,0.86
how do i locate my credit score,IAB13 Personal Finance,0.98
what's a good place to go to for food around here,IAB8 Food & Drink,0.95
what's a simple chinese recipe for dinner,IAB8 Food & Drink,0.96
"if my car battery is dead, what action do i need to do",IAB2 Automotive,0.95
i need to increase my credit limit,IAB13 Personal Finance,0.93
what things are on my shopping list,IAB22 Shopping,0.91
what's my current credit limit,IAB13 Personal Finance,0.8
whats left as far as gas goes,IAB2 Automotive,0.94
list all of my health benefits,IAB7 Health & Fitness,0.9
i lost my luggage coming from chicago on delta flight ab123,IAB20 Travel,0.96
has my recent order shipped,IAB22 Shopping,0.96
"on a flight with allegiant to orlando, how many carry ons can i take",IAB20 Travel,0.93
can i please know the credit limit for my citibank card,IAB2 Automotive,0.98
what do i do to request a vacation,IAB16 Pets,0.95
how many calories should i plan to be in a donut,IAB8 Food & Drink,0.85
the location of my phone is unknown to me,IAB16 Pets,0.92
do i need vaccinations to travel overseas,IAB20 Travel,0.88
could you list out the carry-on restrictions for american airlines,IAB2 Automotive,1.0
when's the next time i should change my tires,IAB2 Automotive,0.96
what are the total calories for two servings of pasta,IAB8 Food & Drink,0.99
i need a recipe for beef,IAB8 Food & Drink,0.98
can i harm my credit if i miss a car payment,IAB2 Automotive,0.84
how to locate my credit score,IAB13 Personal Finance,0.94
