text,iab_label,confidence
business brief,IAB3 Business,0.74
facebook made big change privacy settings,IAB24 Uncategorized,0.17
canada stocksfutures indicate lower open gdp misses forecasts,IAB3 Business,0.16
lastminute tax tips,IAB13 Personal Finance,0.13
mcdonalds workers descend headquarters,IAB8 Food & Drink,0.29
new dinosaur discovery really worlds biggest dinosaur,IAB12 News,0.7
aidan sex city back big fat greek wedding 2,IAB1 Arts & Entertainment,0.21
alarming predictions white house climate change report,IAB12 News,0.54
mad men cast talk season 7 characters,IAB1 Arts & Entertainment,0.16
captain america winter soldier movie review superhero shootemup,IAB1 Arts & Entertainment,0.25
heres china isnt ready send military hong kong,IAB24 Uncategorized,0.23
artist queen rolf harris adored generations viewers,IAB1 Arts & Entertainment,0.23
us stocks mixed fed rate decision,IAB3 Business,0.18
bradley cooper master manipulator memoir,IAB24 Uncategorized,0.09
spotify slashes prices us college students,IAB5 Education,0.2
euroarea bonds boosted draghi signals ecb stimulus june,IAB12 News,0.15
sarepta therapeutics much hinges approval,IAB14 Society,0.15
apple ibm enter exclusive partnership transform enterprise mobility,IAB3 Business,0.38
film review jersey boys,IAB1 Arts & Entertainment,0.15
longmont satellite imaging company digitalglobe aids search missing,IAB20 Travel,0.1
argentina creditors fail reach deal,IAB24 Uncategorized,0.13
honor loved one luminaria,IAB23 Religion & Spirituality,0.2
veronica mars first eight minutes movie online familiar,IAB9 Hobbies & Interests,0.09
guardians galaxys alexandra byrne chris pratts starlord style,IAB18 Style & Fashion,0.16
ford profit plunges 39 q1 weak us sales,IAB3 Business,0.26
miley cancels charlotte show raleigh still schedule,IAB1 Arts & Entertainment,0.23
china trade surplus rises us1845bn,IAB3 Business,0.19
obama praises wintour glittering met gala,IAB1 Arts & Entertainment,0.32
tax hike hurts japan business mood 1997 boj tankan,IAB3 Business,0.7
eurusd inches ukraine unease softens dollar,IAB5 Education,0.08
dropbox announces slew new features,IAB19 Technology & Computing,0.15
bachelorette bachelor chris soules id love ask andi dorfman two,IAB9 Hobbies & Interests,0.12
new samsung ads poke fun ipad display lack multiscreen support,IAB19 Technology & Computing,0.38
living materials could used design solar cells selfheating materials,IAB15 Science,0.19
rollsroyce launches 1 billion stg share buyback,IAB3 Business,0.41
miley cyrus fulfilled destiny superstar,IAB1 Arts & Entertainment,0.19
study says fiveaday still insufficient,IAB15 Science,0.22
ebola victims friends call pair transferred europe,IAB20 Travel,0.39
bulgarian prime minister assures banks safety,IAB3 Business,0.5
stocks rise technology shares gain wxow news 19 la crosse wi news,IAB12 News,0.62
good news diabetes,IAB12 News,0.83
affordable care act working,IAB12 News,0.17
nasa poised test new technology land mars,IAB15 Science,0.29
