text,iab_label,confidence,source
house republican leaders craft vision alternative healthcare law,"IAB11 Law, Gov’t & Politics",0.58,natural
sebelius exit stirs fresh gop criticism health law,"IAB11 Law, Gov’t & Politics",0.56,natural
government politics arrogance obamacare,"IAB11 Law, Gov’t & Politics",0.54,natural
inside politics dday obamacare,"IAB11 Law, Gov’t & Politics",0.54,natural
white house week ahead russia waiting game obamacare deadline,"IAB11 Law, Gov’t & Politics",0.54,natural
big medicine politics usual sabotaged obamacare,"IAB11 Law, Gov’t & Politics",0.54,natural
obama eyes bailout health insurers,"IAB11 Law, Gov’t & Politics",0.54,natural
cdc chief faces us lawmakers congress flu anthrax goof ups,"IAB11 Law, Gov’t & Politics",0.54,natural
epa may force disclosure fracking chemicals public backlash,"IAB11 Law, Gov’t & Politics",0.53,natural
skin cancer target legislators,"IAB11 Law, Gov’t & Politics",0.53,natural
lawmakers call ecigarette regulations,"IAB11 Law, Gov’t & Politics",0.53,natural
granting new bank licences political process says raghuram rajan,"IAB11 Law, Gov’t & Politics",0.52,natural
lawmakers aim restrict guns mentally ill shooting,"IAB11 Law, Gov’t & Politics",0.52,natural
sebelius political opposition texas health care law hasnt helped,"IAB11 Law, Gov’t & Politics",0.52,natural
dc circuit court case could cripple obamacare,"IAB11 Law, Gov’t & Politics",0.51,natural
red tape obama imposes new greenhouse gas regulations,"IAB11 Law, Gov’t & Politics",0.51,natural
black schakowsky introduce bipartisan legislation protect seniors,"IAB11 Law, Gov’t & Politics",0.51,natural
fccs new net neutrality proposal already ruining internet,"IAB11 Law, Gov’t & Politics",0.51,natural
granting new bank licences political process raghuram rajan,"IAB11 Law, Gov’t & Politics",0.51,natural
fda wants regulate ecigarettes connecticut plans legislative action,"IAB11 Law, Gov’t & Politics",0.5,natural
bill legalize pot dc could make nov ballot,"IAB11 Law, Gov’t & Politics",0.5,natural
high court rejects new campaign finance case,"IAB11 Law, Gov’t & Politics",0.5,natural
0ink vanity plate fight could go indiana legislature,"IAB11 Law, Gov’t & Politics",0.5,natural
house gop committed obamacare alternative passing bill year,"IAB11 Law, Gov’t & Politics",0.5,natural
push congress pass climatesaving carbon tax,"IAB11 Law, Gov’t & Politics",0.5,natural
congressional dems gop obamacare fight,"IAB11 Law, Gov’t & Politics",0.49,natural
sen schumer wants tighter trucking regulations,"IAB11 Law, Gov’t & Politics",0.48,natural
vanity plate fight could go legislature,"IAB11 Law, Gov’t & Politics",0.48,natural
lawmakers must tackle chicago pensions,"IAB11 Law, Gov’t & Politics",0.48,natural
tennessee makes first arrest controversial new law criminalizing,"IAB11 Law, Gov’t & Politics",0.47,natural
capitol alert california soda warning label bill stalls committee,"IAB11 Law, Gov’t & Politics",0.47,natural
obama cooking census books obamacare,"IAB11 Law, Gov’t & Politics",0.47,natural
obama kept promise enforce net neutrality,"IAB11 Law, Gov’t & Politics",0.47,natural
fccs plan net neutrality heavy scrutinizing,"IAB11 Law, Gov’t & Politics",0.47,natural
fccs new net neutrality rules could disempower,"IAB11 Law, Gov’t & Politics",0.47,natural
obama signs executive orders pay equity,"IAB11 Law, Gov’t & Politics",0.47,natural
senator schumer wants tighter trucking regulations,"IAB11 Law, Gov’t & Politics",0.47,natural
fccs net neutrality proposal stirs dissent congress,"IAB11 Law, Gov’t & Politics",0.47,natural
turkey citing illegal content courts block twitter days elections,"IAB11 Law, Gov’t & Politics",0.46,natural
powdered alcohol longer legal thing feds reverse approval,"IAB11 Law, Gov’t & Politics",0.46,natural
lawmakers grill gm chief recall coverup,"IAB11 Law, Gov’t & Politics",0.46,natural
dc gets new obamacare tax,"IAB11 Law, Gov’t & Politics",0.46,natural
senator schumer calls tighter trucking industry regulation,"IAB11 Law, Gov’t & Politics",0.46,natural
white house congress stop tax inversions,"IAB11 Law, Gov’t & Politics",0.46,natural
ban conversion therapy gay young people moves forward illinois house,"IAB11 Law, Gov’t & Politics",0.46,natural
coalstate lawmakers rally power plant emissions crackdown,"IAB11 Law, Gov’t & Politics",0.46,natural
nebraska lawmakers advance prison reform bill,"IAB11 Law, Gov’t & Politics",0.45,natural
house republicans unveil obamacare alternative,"IAB11 Law, Gov’t & Politics",0.45,natural
legislators grapple merging medical recreational marijuana,"IAB11 Law, Gov’t & Politics",0.45,natural
obama administration extends obamacare deadline,"IAB11 Law, Gov’t & Politics",0.45,natural
millions sunk md obamacare disaster washpost fails consider political,"IAB11 Law, Gov’t & Politics",0.45,natural
del governor signs teen tanning bill,"IAB11 Law, Gov’t & Politics",0.45,natural
senator blunt blasts epa regs fight president every step way,"IAB11 Law, Gov’t & Politics",0.45,natural
fight begins 2nd phase texas abortion law,"IAB11 Law, Gov’t & Politics",0.45,natural
ny attorney general targets highfrequency trading,"IAB11 Law, Gov’t & Politics",0.45,natural
numerous lapses cdc found anthrax incidentlawmakers,"IAB11 Law, Gov’t & Politics",0.45,natural
senators back state management carbon emissions,"IAB11 Law, Gov’t & Politics",0.45,natural
federal bailout added health care law,"IAB11 Law, Gov’t & Politics",0.45,natural
