text,iab_label,confidence,source
fix leaking garden hose,IAB10 Home & Garden,0.65,synthetic
three men busted drug charges near td garden,IAB10 Home & Garden,0.63,natural
english garden maze hedges,IAB10 Home & Garden,0.62,synthetic
house gop proposes healthy school lunch optout,IAB10 Home & Garden,0.56,natural
english garden follies,IAB10 Home & Garden,0.55,synthetic
organic community home gardening combat climate change,IAB10 Home & Garden,0.55,natural
english garden copper lanterns,IAB10 Home & Garden,0.54,synthetic
create zen garden at home,IAB10 Home & Garden,0.53,synthetic
indoor herb garden setup,IAB10 Home & Garden,0.52,synthetic
english garden sundials,IAB10 Home & Garden,0.51,synthetic
english cottage garden planters,IAB10 Home & Garden,0.49,synthetic
garden irrigation system setup,IAB10 Home & Garden,0.48,synthetic
balinese garden stepping stones,IAB10 Home & Garden,0.47,synthetic
building a British cottage garden,IAB10 Home & Garden,0.45,synthetic
least 86 treated emergency officials incident td garden,IAB10 Home & Garden,0.45,natural
kim kardashian wed exclusive garden,IAB10 Home & Garden,0.45,natural
terracotta garden tiles,IAB10 Home & Garden,0.44,synthetic
stone pebble garden paths,IAB10 Home & Garden,0.44,synthetic
hive mind home gardeners help save bees food supply,IAB10 Home & Garden,0.43,natural
balinese coral stone garden walls,IAB10 Home & Garden,0.43,synthetic
balinese coconut fiber garden mats,IAB10 Home & Garden,0.42,synthetic
solar powered garden lights,IAB10 Home & Garden,0.42,synthetic
gelzinis td garden gets blame disaster,IAB10 Home & Garden,0.42,natural
painted iron garden shelves,IAB10 Home & Garden,0.42,synthetic
organizing garden shed,IAB10 Home & Garden,0.41,synthetic
spanish iron scroll garden gates,IAB10 Home & Garden,0.41,synthetic
solar garden light installation,IAB10 Home & Garden,0.4,synthetic
wicker garden storage boxes,IAB10 Home & Garden,0.4,synthetic
bamboo garden fences,IAB10 Home & Garden,0.4,synthetic
balinese carved garden gates,IAB10 Home & Garden,0.39,synthetic
english knot gardens,IAB10 Home & Garden,0.39,synthetic
choosing wood for garden furniture,IAB10 Home & Garden,0.39,synthetic
english wooden garden cold frames,IAB10 Home & Garden,0.39,synthetic
greek mosaic floor garden pathways,IAB10 Home & Garden,0.39,synthetic
keeping gardening,IAB10 Home & Garden,0.38,natural
irish stone carved garden animals,IAB10 Home & Garden,0.38,synthetic
venetian stained glass garden windows,IAB10 Home & Garden,0.38,synthetic
irish slate garden sculptures,IAB10 Home & Garden,0.38,synthetic
balinese garden water spouts,IAB10 Home & Garden,0.38,synthetic
greek mosaic garden borders,IAB10 Home & Garden,0.38,synthetic
irish stone garden walling,IAB10 Home & Garden,0.37,synthetic
dwarf planet discovered astronomers solar systems backyard,IAB10 Home & Garden,0.37,natural
mosquitoes spring garden test positive west nile virus,IAB10 Home & Garden,0.37,natural
building a colonial American garden,IAB10 Home & Garden,0.37,synthetic
bike stolen garden shed sheffield,IAB10 Home & Garden,0.37,natural
strike halts gm plant union rejects offer,IAB10 Home & Garden,0.37,natural
balinese garden statues,IAB10 Home & Garden,0.37,synthetic
indian phad painting garden screens,IAB10 Home & Garden,0.37,synthetic
painted iron garden arches,IAB10 Home & Garden,0.37,synthetic
scottish river pebble garden paths,IAB10 Home & Garden,0.37,synthetic
balinese river stone garden tables,IAB10 Home & Garden,0.37,synthetic
himalayan quartz garden lights,IAB10 Home & Garden,0.37,synthetic
slate garden pathways,IAB10 Home & Garden,0.37,synthetic
teak garden tables,IAB10 Home & Garden,0.37,synthetic
venetian glass mosaic garden tiles,IAB10 Home & Garden,0.36,synthetic
irish linen damask garden covers,IAB10 Home & Garden,0.36,synthetic
painted wood garden gates,IAB10 Home & Garden,0.36,synthetic
russian birch plywood garden furniture,IAB10 Home & Garden,0.36,synthetic
english rose garden design,IAB10 Home & Garden,0.36,synthetic
greek cycladic garden seating,IAB10 Home & Garden,0.36,synthetic
irish peat moss garden blocks,IAB10 Home & Garden,0.36,synthetic
growing strawberries at home,IAB10 Home & Garden,0.35,synthetic
concrete garden planters,IAB10 Home & Garden,0.35,synthetic
scottish slate roof garden sheds,IAB10 Home & Garden,0.35,synthetic
thai celadon pottery garden stools,IAB10 Home & Garden,0.35,synthetic
solar garden lights,IAB10 Home & Garden,0.35,synthetic
english garden tool belts,IAB10 Home & Garden,0.35,synthetic
rustic wooden garden gates,IAB10 Home & Garden,0.35,synthetic
english sunken garden design,IAB10 Home & Garden,0.35,synthetic
japanese stone basin gardens,IAB10 Home & Garden,0.35,synthetic
french zinc garden watering cans,IAB10 Home & Garden,0.35,synthetic
greek marble garden stools,IAB10 Home & Garden,0.35,synthetic
