text,labels,confidence,source,iab_label
sony sell playstation china tieups,,0.44,natural,IAB14 Society
new york college offer summer sociology course miley cyrus,,0.44,natural,IAB14 Society
Fine Art is a valuable part of our society and should be supported and encouraged.,,0.44,synthetic,IAB14 Society
Nursing is a profession that is constantly evolving to meet the changing needs of society.,,0.44,synthetic,IAB14 Society
sony begin selling playstation consoles china,,0.44,natural,IAB14 Society
sebi ignore flash boys,,0.44,natural,IAB14 Society
sony officially launch playstation business china soon,,0.44,natural,IAB14 Society
statement lászló andor european commissioner employment social,,0.44,natural,IAB14 Society
braley listens retirees concerns social security,,0.44,natural,IAB14 Society
social security closes offices even demand soars,,0.44,natural,IAB14 Society
sony microsoft companies recovering weekend ddos,,0.44,natural,IAB14 Society
goodbye psp sony discontinues device decade,,0.44,natural,IAB14 Society
"Notable events in the history of astrology include the publication of the first astrological almanac in 1475, the founding of the Royal Astronomical Society in 1820, and the launch of the first artificial satellite, Sputnik 1, in 1957.",,0.44,synthetic,IAB14 Society
sony xperia z2 tablet,,0.44,natural,IAB14 Society
sony announces end playstation portable shipments,,0.44,natural,IAB14 Society
sony issues warning vaio battery fire risk update,,0.44,natural,IAB14 Society
sony shocks ps4 takes top spot npd xbox one ships 5 million units,,0.44,natural,IAB14 Society
sony psn connectivity restored,,0.44,natural,IAB14 Society
scotus v internet supreme court could change tv,,0.44,natural,IAB14 Society
EVs are not just a technological advancement; they represent a shift towards a more sustainable and environmentally conscious society.,,0.44,synthetic,IAB14 Society
next generation cassette sony develops tapes 3700 times,,0.44,natural,IAB14 Society
shire boosts ftse 100 fourth day black,,0.44,natural,IAB14 Society
sony issues batteryfire warning vaio laptops,,0.44,natural,IAB14 Society
asco meeting day 1 preserving fertility reducing side effects,,0.44,natural,IAB14 Society
new york college offer course sociology miley cyrus summer,,0.43,natural,IAB14 Society
sony playstation network game services attacked,,0.43,natural,IAB14 Society
"Arts and crafts have a profound influence on society, contributing to cultural identity, fostering creativity, and providing therapeutic benefits.",,0.43,synthetic,IAB14 Society
isspresso espresso machine space,,0.43,natural,IAB14 Society
"Football's impact on society extends far beyond the pitch, shaping values, promoting health, and fostering social cohesion.",,0.43,synthetic,IAB14 Society
nsa setting fire internet,,0.43,natural,IAB14 Society
nation world,,0.43,natural,IAB14 Society
social security agency deputy defends closing field offices,,0.43,natural,IAB14 Society
alstoms plight illustrates frances problems,,0.43,natural,IAB14 Society
shire plc shpg confirms rejects highly conditional abbvie abbv proposal,,0.43,natural,IAB14 Society
seti institute astronomers take skies verify may 23 meteor shower,,0.43,natural,IAB14 Society
sony sold 7m ps4s,,0.43,natural,IAB14 Society
You can find more information about HR on the websites of professional organizations such as the Society for Human Resource Management (SHRM) and the Human Resources Professionals Association (HRPA).,,0.43,synthetic,IAB14 Society
sony advises consumers quit using vaio laptops batteries,,0.43,natural,IAB14 Society
shire shpg takeover bid rejected stock reaches new high,,0.43,natural,IAB14 Society
Weather is a complex and dynamic system that has a profound influence on human society.,,0.43,synthetic,IAB14 Society
twerking 101 miley cyrus subject college sociology course,,0.43,natural,IAB14 Society
sony sell playstation 4 console china,,0.43,natural,IAB14 Society
"Marriage has been a cornerstone of human society for centuries, serving as a fundamental institution that shapes social structures, cultural norms, and personal relationships.",,0.43,synthetic,IAB14 Society
shire confirms rejection abbvie proposal,,0.43,natural,IAB14 Society
google social chief vic gundotra steps,,0.43,natural,IAB14 Society
public thinks ecigarettes harmless arent leading health,,0.42,natural,IAB14 Society
white house urges turkey lift twitter ban,,0.42,natural,IAB14 Society
