text,labels,confidence,source,iab_label
lady gaga features resurrected jesus gandhi michael jackson,,0.44,natural,IAB23 Religion & Spirituality
naked lady gaga leads orgy resurrecting jesus michael jackson,,0.44,natural,IAB23 Religion & Spirituality
mormon girls star andrew,,0.44,natural,IAB23 Religion & Spirituality
hbos leftovers damon lindelof cant stop posing metaphysical,,0.44,natural,IAB23 Religion & Spirituality
oprah dr angelou always rainbow clouds,,0.44,natural,IAB23 Religion & Spirituality
good friday jerusalems via dolorosa marked christians,,0.44,natural,IAB23 Religion & Spirituality
easter jesus bunnies actually,,0.44,natural,IAB23 Religion & Spirituality
Islam is a diverse religion with many different interpretations.,,0.44,synthetic,IAB23 Religion & Spirituality
jewish families start celebration passover,,0.44,natural,IAB23 Religion & Spirituality
religious leaders respond noah moving inspiring,,0.44,natural,IAB23 Religion & Spirituality
meet real heaven real family,,0.44,natural,IAB23 Religion & Spirituality
churches pull stops draw people easter,,0.44,natural,IAB23 Religion & Spirituality
stations cross peoples church,,0.44,natural,IAB23 Religion & Spirituality
peaches geldof dead family friends attend funeral church,,0.44,natural,IAB23 Religion & Spirituality
ajimobi congratulates christians easter tasks security challenges,,0.44,natural,IAB23 Religion & Spirituality
catholic daughters court queen peace 2227,,0.44,natural,IAB23 Religion & Spirituality
film review transcendence depp plays god sort,,0.44,natural,IAB23 Religion & Spirituality
katy perry sued christian rappers hit song dark horse,,0.44,natural,IAB23 Religion & Spirituality
book mormon chimerica win olivier awards london,,0.44,natural,IAB23 Religion & Spirituality
al sharptons easter message im comparing obama jesus,,0.44,natural,IAB23 Religion & Spirituality
rza shares thoughts christ bearers suicide attempt mental health,,0.44,natural,IAB23 Religion & Spirituality
experience jesus last hours earth,,0.44,natural,IAB23 Religion & Spirituality
moms night finds faithbased laughs hard come,,0.44,natural,IAB23 Religion & Spirituality
holy thursday important,,0.44,natural,IAB23 Religion & Spirituality
shadow stations cross illustrates christs death resurrection,,0.44,natural,IAB23 Religion & Spirituality
moms night finds faithbased laughs hard come 2 stars,,0.44,natural,IAB23 Religion & Spirituality
christians commemorate good friday,,0.44,natural,IAB23 Religion & Spirituality
balinese temple umbrellas,,0.44,synthetic,IAB23 Religion & Spirituality
omaha man convicted murdering 4 egyptian gods orders,,0.44,natural,IAB23 Religion & Spirituality
katy perry sued christian rapper,,0.43,natural,IAB23 Religion & Spirituality
"Future possibilities for Paganism and Wicca include continued growth, increased visibility, and potential recognition as legitimate religions.",,0.43,synthetic,IAB23 Religion & Spirituality
lds church celebrates easter initiative,,0.43,natural,IAB23 Religion & Spirituality
holy thursday mark easter start,,0.43,natural,IAB23 Religion & Spirituality
christians mark good friday,,0.43,natural,IAB23 Religion & Spirituality
Judaism is a religion that is based on the belief in the importance of peace.,,0.43,synthetic,IAB23 Religion & Spirituality
"Christianity is a religion of faith and trust, and it teaches its followers to trust in God's love and mercy.",,0.43,synthetic,IAB23 Religion & Spirituality
procession teaches lessons jesus life,,0.43,natural,IAB23 Religion & Spirituality
"Judaism is one of the oldest monotheistic religions, with its roots in the ancient Middle East.",,0.43,synthetic,IAB23 Religion & Spirituality
olivia wilde wears pregnancy badge pride im goddess,,0.43,natural,IAB23 Religion & Spirituality
croatian pm offers best wishes jews passover,,0.43,natural,IAB23 Religion & Spirituality
pilgrims celebrate palm sunday jerusalem,,0.43,natural,IAB23 Religion & Spirituality
indian temple bell wind chimes,,0.43,synthetic,IAB23 Religion & Spirituality
balinese wooden temple bells,,0.43,synthetic,IAB23 Religion & Spirituality
colton burpo boy said met jesus heaven faces critics,,0.43,natural,IAB23 Religion & Spirituality
letter churchs services show revival,,0.43,natural,IAB23 Religion & Spirituality
passover begins sundown north fork,,0.42,natural,IAB23 Religion & Spirituality
katy perry sued christian rap group,,0.42,natural,IAB23 Religion & Spirituality
holy fire ritual draws thousands,,0.42,natural,IAB23 Religion & Spirituality
faith leaders trained lead fight hiv,,0.42,natural,IAB23 Religion & Spirituality
year biblical films fruitful multiplying,,0.42,natural,IAB23 Religion & Spirituality
american pastor saeed abedini wrote following easter message,,0.42,natural,IAB23 Religion & Spirituality
"The Catholic Church is a major force in the world today, with a significant influence on politics, culture, and education.",,0.42,synthetic,IAB23 Religion & Spirituality
christs sacrifice makes good friday eternities,,0.42,natural,IAB23 Religion & Spirituality
video see sherri shepherds tearful biblical goodbye view,,0.42,natural,IAB23 Religion & Spirituality
april blood moon kicks lunar eclipse quartet biblical prophecies,,0.42,natural,IAB23 Religion & Spirituality
holy thursday,,0.42,natural,IAB23 Religion & Spirituality
churches offer daily community worship holy week,,0.42,natural,IAB23 Religion & Spirituality
churches celebrate easter sunrise special services,,0.42,natural,IAB23 Religion & Spirituality
case closed dinosaur proves bible theory,,0.42,natural,IAB23 Religion & Spirituality
Judaism is a religion that is open to people of all backgrounds.,,0.42,synthetic,IAB23 Religion & Spirituality
mers outbreak could spread ramadan haj,,0.42,natural,IAB23 Religion & Spirituality
stars align arena tour jesus christ superstar,,0.42,natural,IAB23 Religion & Spirituality
holy week time loss redemption,,0.42,natural,IAB23 Religion & Spirituality
christians celebrate palm sundaypublish date apr 13 2014,,0.42,natural,IAB23 Religion & Spirituality
"The LDS Church is a major force in American religion and society, and its influence is likely to continue to grow in the years to come.",,0.42,synthetic,IAB23 Religion & Spirituality
lady gaga releases new film clip resurrects jesus michael jackson,,0.42,natural,IAB23 Religion & Spirituality
elevate life church frisco host weekend easter events,,0.42,natural,IAB23 Religion & Spirituality
mers cases decline outbreak could spread annual hajj,,0.41,natural,IAB23 Religion & Spirituality
jesus settle things cross,,0.41,natural,IAB23 Religion & Spirituality
life death jesus remembered good friday,,0.41,natural,IAB23 Religion & Spirituality
worship kim kardashians,,0.41,natural,IAB23 Religion & Spirituality
Islam is a way of life that encompasses all aspects of human existence.,,0.41,synthetic,IAB23 Religion & Spirituality
angus jones talks religion two half men texas tv station,,0.41,natural,IAB23 Religion & Spirituality
essence fest welcomes home r b diva ledisi,,0.41,natural,IAB23 Religion & Spirituality
"Christianity has had a profound influence on Western civilization, shaping its culture, art, and politics.",,0.41,synthetic,IAB23 Religion & Spirituality
lady gagas bizarre guy music video jesus michael jackson ghandi,,0.41,natural,IAB23 Religion & Spirituality
wants christian greys personal intern,,0.41,natural,IAB23 Religion & Spirituality
blessed palm sunday,,0.41,natural,IAB23 Religion & Spirituality
neil degrasse tyson revives sagans cosmos tv series naturalistic religion,,0.41,natural,IAB23 Religion & Spirituality
nepal seder gets passover supplies time,,0.41,natural,IAB23 Religion & Spirituality
story easter passover chocolate eggs,,0.41,natural,IAB23 Religion & Spirituality
faith applebeats,,0.41,natural,IAB23 Religion & Spirituality
exhgtv hosts faith costs us tv show,,0.41,natural,IAB23 Religion & Spirituality
churches pack mt sequoyah easter sunrise service,,0.41,natural,IAB23 Religion & Spirituality
led zeppelin sued spirit stairway heaven alleged plagiarism,,0.41,natural,IAB23 Religion & Spirituality
pastors share thoughts meaning easter,,0.4,natural,IAB23 Religion & Spirituality
pilgrims flock jerusalem celebrate easter,,0.4,natural,IAB23 Religion & Spirituality
nirvana kiss gabriel rock hall,,0.4,natural,IAB23 Religion & Spirituality
halle berrys daughter prayed every night year little brother,,0.4,natural,IAB23 Religion & Spirituality
"Controversies surrounding Paganism and Wicca have highlighted issues of religious freedom, discrimination, and societal perceptions.",,0.4,synthetic,IAB23 Religion & Spirituality
