text,labels,confidence,source,iab_label
microsoft office ipad might make sense real estate,,0.44,natural,IAB21 Real Estate
posthumous album michael jackson material coming may estate,,0.44,natural,IAB21 Real Estate
homebuilders pessimistic may,,0.44,natural,IAB21 Real Estate
sales existing us homes climbed forecast may,,0.44,natural,IAB21 Real Estate
kim kardashian kanye west selling 11m bel air estate watch,,0.44,natural,IAB21 Real Estate
dollar edges us confidence data housing numbers weigh,,0.44,natural,IAB21 Real Estate
mondays early trade wall street falls housing data disappoints,,0.44,natural,IAB21 Real Estate
seattlebased redfin may get higher ipo price zillowtrulia deal,,0.43,natural,IAB21 Real Estate
sothebys third point reach settlement update,,0.43,natural,IAB21 Real Estate
wall street flat ahead housing data chicago pmi mannkind surges,,0.42,natural,IAB21 Real Estate
sales existing homes rise 49 percent may,,0.42,natural,IAB21 Real Estate
sales new homes plunge 145 march,,0.42,natural,IAB21 Real Estate
home price rises cool quarter says spcaseshiller,,0.42,natural,IAB21 Real Estate
brief home sales offer hope new momentum,,0.42,natural,IAB21 Real Estate
housing starts permits decline may hovering around 1 million,,0.42,natural,IAB21 Real Estate
43 2014 home buyers paid cash,,0.42,natural,IAB21 Real Estate
tighter credit steadies chinas new home price increases,,0.42,natural,IAB21 Real Estate
expand property tax chart loud,,0.42,natural,IAB21 Real Estate
nahb housing index dips 45 may,,0.42,natural,IAB21 Real Estate
china home price inflation cools 8month low march,,0.42,natural,IAB21 Real Estate
bank england holds interest rates amid rising housing market,,0.42,natural,IAB21 Real Estate
fannie freddie cut forecasts us housing market posts slow start 2014,,0.41,natural,IAB21 Real Estate
home price gains slow 3rd straight month consumer confidence april,,0.41,natural,IAB21 Real Estate
us existinghome sales fall slightly,,0.41,natural,IAB21 Real Estate
zillow trulia deal could cost real estate agents,,0.41,natural,IAB21 Real Estate
us existinghome sales rise april,,0.41,natural,IAB21 Real Estate
us existing homes sales 20month low,,0.41,natural,IAB21 Real Estate
april sales existing homes post first gain 2014,,0.41,natural,IAB21 Real Estate
new home sales jump northeast,,0.41,natural,IAB21 Real Estate
pending sales existing homes decline us,,0.41,natural,IAB21 Real Estate
zillows trulia purchase could change way buy home,,0.41,natural,IAB21 Real Estate
lwren scott leaves entire estate worth 9 million mick jagger,,0.41,natural,IAB21 Real Estate
us home prices still rising pace gains slow buyers priced market,,0.4,natural,IAB21 Real Estate
official zillow trulia,,0.4,natural,IAB21 Real Estate
us existing home sales fall,,0.4,natural,IAB21 Real Estate
housing starts fall ninemonth low june,,0.4,natural,IAB21 Real Estate
new home sales rebound inventories hit 3â½year high,,0.4,natural,IAB21 Real Estate
madison wis home sales wisconsin declined fifth month,,0.4,natural,IAB21 Real Estate
zillow buying trulia 35b,,0.4,natural,IAB21 Real Estate
polk county home values march,,0.4,natural,IAB21 Real Estate
pending home see biggest increase since april 2010,,0.4,natural,IAB21 Real Estate
sales existing homes 49 percent may,,0.4,natural,IAB21 Real Estate
much sothebys spend make loeb happy,,0.4,natural,IAB21 Real Estate
rj reynolds sells historic headquarters building,,0.4,natural,IAB21 Real Estate
silver lining wisconsin housing market,,0.4,natural,IAB21 Real Estate
new home sales fall us economy stays solid ground,,0.39,natural,IAB21 Real Estate
pot property financing entices private investors,,0.39,natural,IAB21 Real Estate
american newhome sales drop 24 percent july,,0.39,natural,IAB21 Real Estate
michael jacksons estate announces new album king pop,,0.39,natural,IAB21 Real Estate
german trade data uk house prices tap tuesday,,0.39,natural,IAB21 Real Estate
us home prices decline january 3rd straight month weather low supply,,0.39,natural,IAB21 Real Estate
new home sales 145,,0.39,natural,IAB21 Real Estate
us home prices rise 105 percent april pace slows,,0.39,natural,IAB21 Real Estate
sales milliondollar homes rise sales cheaper homes fall,,0.39,natural,IAB21 Real Estate
new home sales hint prolonged housing weakness,,0.39,natural,IAB21 Real Estate
us housing starts slow may,,0.39,natural,IAB21 Real Estate
existing home sales us 49 percent may,,0.39,natural,IAB21 Real Estate
housing starts rise slightly march,,0.39,natural,IAB21 Real Estate
agent cost worries us35b zillow takeover trulia,,0.39,natural,IAB21 Real Estate
economic watch new home sales fall july,,0.39,natural,IAB21 Real Estate
harsh realities market stymie leung chunyings housing goals,,0.39,natural,IAB21 Real Estate
photos tom brady gisele bundchen selling sprawling brentwood estate 4,,0.39,natural,IAB21 Real Estate
marion home sales 18 percent,,0.39,natural,IAB21 Real Estate
us existing home sales hit 1 12 year low march,,0.39,natural,IAB21 Real Estate
existing home sales jump 49 percent may,,0.39,natural,IAB21 Real Estate
tmz tom gisele selling la mansion,,0.38,natural,IAB21 Real Estate
selena gomez buys new calabasas mansion one demand,,0.38,natural,IAB21 Real Estate
khloe kourtney kardashian renting 13 million hamptons mansion,,0.38,natural,IAB21 Real Estate
sales us existing homes rose 49 percent may,,0.38,natural,IAB21 Real Estate
us stocks open higher home prices rise,,0.38,natural,IAB21 Real Estate
ellen degeneres makes 15 million profit selling la mansion,,0.38,natural,IAB21 Real Estate
detroit launches website auction cityowned homes,,0.38,natural,IAB21 Real Estate
michael jackson estate invites hs impersonator las vegas,,0.38,natural,IAB21 Real Estate
sales new singlefamily homes plunge 145 march,,0.38,natural,IAB21 Real Estate
chinas 7 house price gain may envy us homeowners spells,,0.38,natural,IAB21 Real Estate
homebuilder confidence surges nationally,,0.38,natural,IAB21 Real Estate
purchases new us homes increase six months,,0.37,natural,IAB21 Real Estate
selena gomez buys 3 million calabasas home close justin biebers old,,0.37,natural,IAB21 Real Estate
lana del rey ultraviolence album review,,0.37,natural,IAB21 Real Estate
us newhome sales rose april,,0.37,natural,IAB21 Real Estate
sales new us homes plunge 145,,0.37,natural,IAB21 Real Estate
sales existing homes 13 percent april new homes sales also,,0.37,natural,IAB21 Real Estate
us consumer confidence near 6yr high home prices rise,,0.37,natural,IAB21 Real Estate
consumer prices may home building declines,,0.37,natural,IAB21 Real Estate
"When selling a home, it is important to price it competitively and to make it appealing to potential buyers.",,0.37,synthetic,IAB21 Real Estate
us new home sales surge,,0.37,natural,IAB21 Real Estate
asian stocks rise third day increase us home sales,,0.36,natural,IAB21 Real Estate
boe wont triggerhappy curbing housing market riskscarney,,0.36,natural,IAB21 Real Estate
buying home online bitcoin,,0.36,natural,IAB21 Real Estate
us existing home sales surge,,0.36,natural,IAB21 Real Estate
us pending home sales jump much expected may,,0.36,natural,IAB21 Real Estate
beyoncé reportedly househunting without jay z,,0.36,natural,IAB21 Real Estate
caseshiller us seasonally adjusted home prices fall may,,0.36,natural,IAB21 Real Estate
gains washington home values trail large cities,,0.36,natural,IAB21 Real Estate
lwren scott leaves entire 9 million estate mick jagger,,0.36,natural,IAB21 Real Estate
us new home sales rebound,,0.36,natural,IAB21 Real Estate
spotted lindsay lohan house hunting west village,,0.36,natural,IAB21 Real Estate
sothebys third point reach agreement,,0.36,natural,IAB21 Real Estate
zillow inc z pay 35b buy trulia inc trla,,0.36,natural,IAB21 Real Estate
great divide lowpriced home sales sink highpriced ones rise,,0.36,natural,IAB21 Real Estate
update 1china janfeb property investment slows sales drop,,0.36,natural,IAB21 Real Estate
us new home sales surge may,,0.36,natural,IAB21 Real Estate
lwren scott leaves 9m estate jagger,,0.36,natural,IAB21 Real Estate
us home prices rise january spcaseshiller,,0.36,natural,IAB21 Real Estate
The demand for apartments is expected to continue to grow in the years to come.,,0.36,synthetic,IAB21 Real Estate
us homebuilder sentiment jumps,,0.36,natural,IAB21 Real Estate
dubai advances worlds biggest mall project,,0.35,natural,IAB21 Real Estate
30year mortgage rates conventional home loans jumbo mortgage,,0.35,natural,IAB21 Real Estate
housing recovery keeps pressing despite setbacks,,0.35,natural,IAB21 Real Estate
us new home sales rebound april,,0.35,natural,IAB21 Real Estate
us stocks fall making new highs home price continues boom april,,0.35,natural,IAB21 Real Estate
selena gomez bought new calabasas mansion nowhere near justin,,0.35,natural,IAB21 Real Estate
us existing home sales 13,,0.35,natural,IAB21 Real Estate
sothebys agrees add third points loeb board,,0.35,natural,IAB21 Real Estate
economy watch existing home sales rise still sluggish home price gains,,0.35,natural,IAB21 Real Estate
