text,labels,confidence,source,iab_label
fda plans first ecigarette regulations,,0.44,natural,"IAB11 Law, Gov’t & Politics"
gops health law alternative could messy obamacare,,0.44,natural,"IAB11 Law, Gov’t & Politics"
ecigarette industry regulated democrats say lawmakers call,,0.44,natural,"IAB11 Law, Gov’t & Politics"
state lawmakers consider adding ecigarettes smoking ban,,0.44,natural,"IAB11 Law, Gov’t & Politics"
fcc push slightly stronger controls net neutrality fight,,0.44,natural,"IAB11 Law, Gov’t & Politics"
fda aims regulate ecigarettes,,0.44,natural,"IAB11 Law, Gov’t & Politics"
epa join nc enforcing coal ash cleanup,,0.44,natural,"IAB11 Law, Gov’t & Politics"
san francisco political adviser pleads guilty,,0.44,natural,"IAB11 Law, Gov’t & Politics"
top court mostly upholds obama bid curb carbon emissions,,0.44,natural,"IAB11 Law, Gov’t & Politics"
revised phone kill switch bill approved senate turn california,,0.44,natural,"IAB11 Law, Gov’t & Politics"
fed governor wants ease rules smaller banks,,0.44,natural,"IAB11 Law, Gov’t & Politics"
president sign executive orders equal pay,,0.44,natural,"IAB11 Law, Gov’t & Politics"
legislation pushes involuntary mental health treatment,,0.44,natural,"IAB11 Law, Gov’t & Politics"
fcc nears vote net neutrality rules,,0.44,natural,"IAB11 Law, Gov’t & Politics"
fda making another attempt regulating ecigarettes,,0.43,natural,"IAB11 Law, Gov’t & Politics"
fcc gut net neutrality,,0.43,natural,"IAB11 Law, Gov’t & Politics"
jack lew pushes congress crack tax inversions,,0.43,natural,"IAB11 Law, Gov’t & Politics"
granting new bank licences political process rajan,,0.43,natural,"IAB11 Law, Gov’t & Politics"
john boehner obama making joke health law latest delay,,0.43,natural,"IAB11 Law, Gov’t & Politics"
fda proposes program speed approval medical devices,,0.43,natural,"IAB11 Law, Gov’t & Politics"
Politics is a powerful tool that can be used for good or for evil.,,0.43,synthetic,"IAB11 Law, Gov’t & Politics"
high court upholds epas right regulate greenhouse gas emissions,,0.43,natural,"IAB11 Law, Gov’t & Politics"
medicare advantage cuts pose political threat,,0.43,natural,"IAB11 Law, Gov’t & Politics"
"Law enforcement agencies, policymakers, and technology companies all have a role to play in combating the distribution of illegal content online.",,0.43,synthetic,"IAB11 Law, Gov’t & Politics"
new net neutrality rules fcc,,0.43,natural,"IAB11 Law, Gov’t & Politics"
gay conversion therapy ban advances illinois house,,0.43,natural,"IAB11 Law, Gov’t & Politics"
medicaid expansion stalled dead missouri legislature,,0.43,natural,"IAB11 Law, Gov’t & Politics"
john podesta issues warning gop climate regulations,,0.43,natural,"IAB11 Law, Gov’t & Politics"
fda proposes rule expand tobacco control authority,,0.43,natural,"IAB11 Law, Gov’t & Politics"
christie signs gambling selfexclusion bill,,0.43,natural,"IAB11 Law, Gov’t & Politics"
fccs new net neutrality proposal sparks outrage among consumer advocates,,0.43,natural,"IAB11 Law, Gov’t & Politics"
obama administration delays affordable care act provision,,0.43,natural,"IAB11 Law, Gov’t & Politics"
lawmakers propose equipping officers heroin antidote,,0.42,natural,"IAB11 Law, Gov’t & Politics"
fda set start regulating sale ecigarettes,,0.42,natural,"IAB11 Law, Gov’t & Politics"
kathleen sebelius points finger texas obamacare,,0.42,natural,"IAB11 Law, Gov’t & Politics"
omb director sylvia burwell nominated lead hhs oversee obamacare,,0.42,natural,"IAB11 Law, Gov’t & Politics"
political debate swirls around epa carbonreduction rule,,0.42,natural,"IAB11 Law, Gov’t & Politics"
obama administration introduces new drug control policy 2014,,0.42,natural,"IAB11 Law, Gov’t & Politics"
congressional report pushes ecigarette regulations,,0.42,natural,"IAB11 Law, Gov’t & Politics"
fda plan would speed medical device approvals,,0.42,natural,"IAB11 Law, Gov’t & Politics"
fccs contentious new net neutrality rules need know,,0.42,natural,"IAB11 Law, Gov’t & Politics"
rep kevin brady sebelius lost credibility obamacare,,0.42,natural,"IAB11 Law, Gov’t & Politics"
competing medical marijuana proposals florida house senate,,0.42,natural,"IAB11 Law, Gov’t & Politics"
hickenlooper signs bills protect kids marijuana,,0.42,natural,"IAB11 Law, Gov’t & Politics"
obama administration backs cuts medicare advantage,,0.42,natural,"IAB11 Law, Gov’t & Politics"
dictator obamacare delays tell story toopowerful executive,,0.42,natural,"IAB11 Law, Gov’t & Politics"
fccs proposed rules hurt net neutrality,,0.42,natural,"IAB11 Law, Gov’t & Politics"
divided supreme court strikes part epas greenhouse gas regulations,,0.41,natural,"IAB11 Law, Gov’t & Politics"
obama equal pay actions match senate democrat agenda,,0.41,natural,"IAB11 Law, Gov’t & Politics"
obama signs executive order equal pay women,,0.41,natural,"IAB11 Law, Gov’t & Politics"
obama sebelius go history obamacare,,0.41,natural,"IAB11 Law, Gov’t & Politics"
massachusetts screwed obamacare,,0.41,natural,"IAB11 Law, Gov’t & Politics"
fcc chairman promises regulate internet utility needed,,0.41,natural,"IAB11 Law, Gov’t & Politics"
rolf harris jail sentence reviewed attorney general,,0.41,natural,"IAB11 Law, Gov’t & Politics"
fda proposes program faster approval medical devices,,0.41,natural,"IAB11 Law, Gov’t & Politics"
adding dental care contrasts mo legislatures opposition medicaid,,0.41,natural,"IAB11 Law, Gov’t & Politics"
supreme court affirms epa ability regulate greenhouse gases,,0.41,natural,"IAB11 Law, Gov’t & Politics"
ny top court oks fracking ban,,0.41,natural,"IAB11 Law, Gov’t & Politics"
regulators vote final bank leverage rules,,0.41,natural,"IAB11 Law, Gov’t & Politics"
fccs net neutrality walkback fans anger,,0.41,natural,"IAB11 Law, Gov’t & Politics"
senate blasts mobile carriers profiting phony fees,,0.41,natural,"IAB11 Law, Gov’t & Politics"
christie scandal hasnt altered political plans,,0.41,natural,"IAB11 Law, Gov’t & Politics"
epa moves toward possible methane emission rules,,0.41,natural,"IAB11 Law, Gov’t & Politics"
colorado governor signs groundbreaking medication bill law gives,,0.41,natural,"IAB11 Law, Gov’t & Politics"
political earthquake shakes european parliament,,0.41,natural,"IAB11 Law, Gov’t & Politics"
