text,iab_label,confidence,source,labels
best parenting clitoridectomy tips,IAB6 Family & Parenting,1.0,synthetic,
what is parenting immunization,IAB6 Family & Parenting,1.0,synthetic,
learn about childcare child care,IAB6 Family & Parenting,1.0,synthetic,
learn about psychologist averroes(ibn rushd),IAB6 Family & Parenting,1.0,synthetic,
latest news on parenting hiv,IAB6 Family & Parenting,1.0,synthetic,
psychologist robert arkin social psychology,IAB6 Family & Parenting,1.0,synthetic,
what is childcare natural childbirth,IAB6 Family & Parenting,1.0,synthetic,
psychologist stephen j. ceci intelligence and memory,IAB6 Family & Parenting,1.0,synthetic,
learn about psychologist mind,IAB6 Family & Parenting,1.0,synthetic,
what is childcare 3d ultrasound,IAB6 Family & Parenting,0.9,synthetic,
how to use childcare postterm pregnancy,IAB6 Family & Parenting,0.9,synthetic,
how to use childcare birth weight,IAB6 Family & Parenting,0.9,synthetic,
learn about parenting germany,IAB6 Family & Parenting,0.9,synthetic,
how to use psychologist samuel renshaw,IAB6 Family & Parenting,0.9,synthetic,
introduction to parenting pregnancy,IAB6 Family & Parenting,0.9,synthetic,
introduction to parenting prenatal care,IAB6 Family & Parenting,0.9,synthetic,
learn about parenting obstetrical bleeding,IAB6 Family & Parenting,0.9,synthetic,
how to use psychologist qualitative research,IAB6 Family & Parenting,0.9,synthetic,
learn about childcare drugs,IAB6 Family & Parenting,0.9,synthetic,
learn about parenting hyperemesis gravidarum,IAB6 Family & Parenting,0.9,synthetic,
reviews about psychologist diana baumrind,IAB6 Family & Parenting,0.9,synthetic,
reviews about psychologist linda papadopoulos,IAB6 Family & Parenting,0.9,synthetic,
best parenting marriage tips,IAB6 Family & Parenting,0.9,synthetic,
why choose parenting midwifery,IAB6 Family & Parenting,0.9,synthetic,
introduction to childcare swim diaper,IAB6 Family & Parenting,0.9,synthetic,
learn about psychologist endel tulving,IAB6 Family & Parenting,0.9,synthetic,
latest news on parenting menstrual cup,IAB6 Family & Parenting,0.9,synthetic,
how to use psychologist susan carey,IAB6 Family & Parenting,0.9,synthetic,
latest news on psychologist differential,IAB6 Family & Parenting,0.9,synthetic,
best psychologist reiko true tips,IAB6 Family & Parenting,0.9,synthetic,
benefits of childcare paternitypaternity fraud,IAB6 Family & Parenting,0.9,synthetic,
how to use childcare mothers' union,IAB6 Family & Parenting,0.9,synthetic,
benefits of psychologist jean-martin charcot,IAB6 Family & Parenting,0.9,synthetic,
introduction to psychologist erich benjamin,IAB6 Family & Parenting,0.9,synthetic,
latest news on childcare adoptive,IAB6 Family & Parenting,0.9,synthetic,
how to use parenting baby shampoo,IAB6 Family & Parenting,0.9,synthetic,
why choose parenting hpv vaccine,IAB6 Family & Parenting,0.9,synthetic,
learn about parenting childbirth,IAB6 Family & Parenting,0.9,synthetic,
benefits of parenting nurturant parenting,IAB6 Family & Parenting,0.9,synthetic,
why choose childcare paternity fraud,IAB6 Family & Parenting,0.9,synthetic,
reviews about psychologist antoni kępiński,IAB6 Family & Parenting,0.9,synthetic,
introduction to childcare infant clothing,IAB6 Family & Parenting,0.9,synthetic,
why choose psychologist dennis reina,IAB6 Family & Parenting,0.9,synthetic,
how to use childcare travel cot,IAB6 Family & Parenting,0.9,synthetic,
guide to parenting wikiproject,IAB6 Family & Parenting,0.9,synthetic,
guide to parenting urethra,IAB6 Family & Parenting,0.9,synthetic,
why choose psychologist florence goodenough,IAB6 Family & Parenting,0.9,synthetic,
why choose psychologist jacques lacan(psychoanalyst),IAB6 Family & Parenting,0.9,synthetic,
guide to parenting family planning,IAB6 Family & Parenting,0.9,synthetic,
introduction to parenting noncustodial,IAB6 Family & Parenting,0.9,synthetic,
reviews about psychologist patrick leman,IAB6 Family & Parenting,0.9,synthetic,
best parenting travel cot tips,IAB6 Family & Parenting,0.9,synthetic,
latest news on childcare doula,IAB6 Family & Parenting,0.9,synthetic,
what is psychologist social,IAB6 Family & Parenting,0.9,synthetic,
introduction to psychologist sara shettleworth,IAB6 Family & Parenting,0.9,synthetic,
introduction to psychologist julian jaynes,IAB6 Family & Parenting,0.9,synthetic,
learn about parenting wet nurse,IAB6 Family & Parenting,0.9,synthetic,
how to use childcare coparenting,IAB6 Family & Parenting,0.9,synthetic,
reviews about parenting sexual dysfunction,IAB6 Family & Parenting,0.9,synthetic,
latest news on parenting child care,IAB6 Family & Parenting,0.9,synthetic,
guide to parenting introjection,IAB6 Family & Parenting,0.9,synthetic,
best parenting sterilization tips,IAB6 Family & Parenting,0.9,synthetic,
introduction to childcare infant crying,IAB6 Family & Parenting,0.9,synthetic,
latest news on childcare literacy,IAB6 Family & Parenting,0.9,synthetic,
why choose parenting breast health,IAB6 Family & Parenting,0.9,synthetic,
guide to childcare infant bathing,IAB6 Family & Parenting,0.9,synthetic,
latest news on parenting identity formation,IAB6 Family & Parenting,0.9,synthetic,
what is parenting pedialyte,IAB6 Family & Parenting,0.9,synthetic,
guide to childcare reflective parenting,IAB6 Family & Parenting,0.9,synthetic,
learn about parenting grounding,IAB6 Family & Parenting,0.9,synthetic,
guide to parenting gynaecology,IAB6 Family & Parenting,0.9,synthetic,
why choose parenting intersex,IAB6 Family & Parenting,0.9,synthetic,
introduction to childcare nursery rhyme,IAB6 Family & Parenting,0.9,synthetic,
what is childcare kangaroo care,IAB6 Family & Parenting,0.9,synthetic,
reviews about childcare postterm,IAB6 Family & Parenting,0.9,synthetic,
latest news on childcare disownment,IAB6 Family & Parenting,0.9,synthetic,
introduction to parenting vaginitis,IAB6 Family & Parenting,0.9,synthetic,
how to use psychologist jacques mehler,IAB6 Family & Parenting,0.9,synthetic,
why choose childcare peekaboo,IAB6 Family & Parenting,0.9,synthetic,
how to use childcare postpartum care,IAB6 Family & Parenting,0.9,synthetic,
how to use parenting birth control,IAB6 Family & Parenting,0.9,synthetic,
learn about parenting babywearing,IAB6 Family & Parenting,0.9,synthetic,
latest news on parenting teether,IAB6 Family & Parenting,0.9,synthetic,
best childcare grandparent visitation tips,IAB6 Family & Parenting,0.9,synthetic,
learn about childcare lactation consultant,IAB6 Family & Parenting,0.9,synthetic,
introduction to psychologist consumer,IAB6 Family & Parenting,0.9,synthetic,
what is parenting india,IAB6 Family & Parenting,0.9,synthetic,
reviews about psychologist psycholinguistics,IAB6 Family & Parenting,0.9,synthetic,
reviews about parenting gestational diabetes,IAB6 Family & Parenting,0.9,synthetic,
latest news on childcare fertility fraud,IAB6 Family & Parenting,0.9,synthetic,
introduction to psychologist norman farberow,IAB6 Family & Parenting,0.9,synthetic,
best psychologist dietrich doerner tips,IAB6 Family & Parenting,0.9,synthetic,
why choose parenting childlessness,IAB6 Family & Parenting,0.9,synthetic,
latest news on psychologist germaine guex,IAB6 Family & Parenting,0.9,synthetic,
introduction to childcare single parent,IAB6 Family & Parenting,0.9,synthetic,
latest news on parenting television,IAB6 Family & Parenting,0.9,synthetic,
learn about parenting sexual assaultrape,IAB6 Family & Parenting,0.9,synthetic,
learn about childcare gatekeeper parent,IAB6 Family & Parenting,0.9,synthetic,
what is psychologist harold kelley,IAB6 Family & Parenting,0.9,synthetic,
best childcare fundal height tips,IAB6 Family & Parenting,0.9,synthetic,
best childcare latchkey kid tips,IAB6 Family & Parenting,0.9,synthetic,
reviews about psychologist cognition,IAB6 Family & Parenting,0.9,synthetic,
benefits of psychologist riley gardner,IAB6 Family & Parenting,0.9,synthetic,
how to use parenting play,IAB6 Family & Parenting,0.9,synthetic,
guide to parenting abortion,IAB6 Family & Parenting,0.9,synthetic,
latest news on psychologist edmund bourne,IAB6 Family & Parenting,0.9,synthetic,
introduction to childcare soy formula,IAB6 Family & Parenting,0.9,synthetic,
best childcare au pair tips,IAB6 Family & Parenting,0.9,synthetic,
how to use psychologist edgar schein,IAB6 Family & Parenting,0.9,synthetic,
why choose psychologist simon baron-cohen,IAB6 Family & Parenting,0.9,synthetic,
latest news on psychologist military,IAB6 Family & Parenting,0.9,synthetic,
guide to parenting un women,IAB6 Family & Parenting,0.9,synthetic,
reviews about parenting vagina,IAB6 Family & Parenting,0.9,synthetic,
guide to childcare mathematics,IAB6 Family & Parenting,0.9,synthetic,
