text,iab_label,confidence
gift deal order,IAB22 Shopping,0.8
discount marketplace rewards,IAB22 Shopping,0.8
collection vendor trend,IAB22 Shopping,0.8
retail clearance secure,IAB22 Shopping,0.8
retail discount payment,IAB22 Shopping,0.8
deal gadget cart,IAB22 Shopping,0.8
trend wishlist order,IAB22 Shopping,0.8
color storefront outlet,IAB22 Shopping,0.8
price membership size,IAB22 Shopping,0.8
subscription electronics outlet,IAB22 Shopping,0.8
shop fashion appliance,IAB22 Shopping,0.8
loyalty outlet electronics,IAB22 Shopping,0.8
trend shop rating,IAB22 Shopping,0.8
shop wishlist buy,IAB22 Shopping,0.8
collection size secure,IAB22 Shopping,0.8
returns vendor gift,IAB22 Shopping,0.8
deal loyalty checkout,IAB22 Shopping,0.8
rewards subscription sale,IAB22 Shopping,0.8
trend marketplace buy,IAB22 Shopping,0.8
cart secure promotion,IAB22 Shopping,0.8
rating clearance invoice,IAB22 Shopping,0.8
store offer price,IAB22 Shopping,0.8
membership vendor flash,IAB22 Shopping,0.8
buy store brand,IAB22 Shopping,0.8
trend offer price,IAB22 Shopping,0.8
gadget coupon order,IAB22 Shopping,0.8
trend returns buy,IAB22 Shopping,0.8
furniture offer electronics,IAB22 Shopping,0.8
wishlist subscription value,IAB22 Shopping,0.8
delivery bargain code,IAB22 Shopping,0.8
size checkout appliance,IAB22 Shopping,0.8
invoice outlet checkout,IAB22 Shopping,0.8
gadget membership wishlist,IAB22 Shopping,0.8
vendor pickup gift,IAB22 Shopping,0.8
storefront luxury order,IAB22 Shopping,0.8
retail flash checkout,IAB22 Shopping,0.8
size promotion storefront,IAB22 Shopping,0.8
product bundle invoice,IAB22 Shopping,0.8
furniture pickup wishlist,IAB22 Shopping,0.8
color gift electronics,IAB22 Shopping,0.8
warranty appliance checkout,IAB22 Shopping,0.8
code rating bundle,IAB22 Shopping,0.8
clearance color furniture,IAB22 Shopping,0.8
warranty discount furniture,IAB22 Shopping,0.8
appliance rating store,IAB22 Shopping,0.8
fashion appliance retail,IAB22 Shopping,0.8
review gift storefront,IAB22 Shopping,0.8
pickup invoice order,IAB22 Shopping,0.8
review furniture retail,IAB22 Shopping,0.8
store checkout offer,IAB22 Shopping,0.8
flash invoice cart,IAB22 Shopping,0.8
clearance delivery fit,IAB22 Shopping,0.8
order flash rewards,IAB22 Shopping,0.8
flash invoice electronics,IAB22 Shopping,0.8
subscription size electronics,IAB22 Shopping,0.8
flash size pickup,IAB22 Shopping,0.8
loyalty marketplace bundle,IAB22 Shopping,0.8
vendor warranty gadget,IAB22 Shopping,0.8
order pickup wishlist,IAB22 Shopping,0.8
