text,iab_label,confidence,source
Balu shahi,IAB8 Food & Drink,0.85,natural
Boondi,IAB8 Food & Drink,0.85,natural
Gajar ka halwa,IAB8 Food & Drink,0.85,natural
Ghevar,IAB8 Food & Drink,0.85,natural
Gulab jamun,IAB8 Food & Drink,0.85,natural
Imarti,IAB8 Food & Drink,0.85,natural
Jalebi,IAB8 Food & Drink,0.85,natural
Kaju katli -,IAB8 Food & Drink,0.85,natural
Kalakand,IAB8 Food & Drink,0.85,natural
Kheer -,IAB8 Food & Drink,0.85,natural
Laddu -,IAB8 Food & Drink,0.85,natural
Lassi,IAB8 Food & Drink,0.85,natural
Nankhatai -,IAB8 Food & Drink,0.85,natural
Petha,IAB8 Food & Drink,0.85,natural
Phirni,IAB8 Food & Drink,0.85,natural
Rabri,IAB8 Food & Drink,0.85,natural
Sheera,IAB8 Food & Drink,0.85,natural
Singori,IAB8 Food & Drink,0.85,natural
Sohan halwa,IAB8 Food & Drink,0.85,natural
Sohan papdi,IAB8 Food & Drink,0.85,natural
Chhena jalebi,IAB8 Food & Drink,0.85,natural
Chhena kheeri,IAB8 Food & Drink,0.85,natural
Chhena poda,IAB8 Food & Drink,0.85,natural
Cham cham,IAB8 Food & Drink,0.85,natural
Kheer sagar,IAB8 Food & Drink,0.85,natural
Ledikeni,IAB8 Food & Drink,0.85,natural
Lyangcha,IAB8 Food & Drink,0.85,natural
Malapua,IAB8 Food & Drink,0.85,natural
Mihidana,IAB8 Food & Drink,0.85,natural
Misti doi,IAB8 Food & Drink,0.85,natural
Pantua,IAB8 Food & Drink,0.85,natural
Pithe,IAB8 Food & Drink,0.85,natural
Rasabali,IAB8 Food & Drink,0.85,natural
Ras malai,IAB8 Food & Drink,0.85,natural
Rasgulla,IAB8 Food & Drink,0.85,natural
Sandesh,IAB8 Food & Drink,0.85,natural
Adhirasam,IAB8 Food & Drink,0.85,natural
Ariselu,IAB8 Food & Drink,0.85,natural
Bandar laddu,IAB8 Food & Drink,0.85,natural
Chikki,IAB8 Food & Drink,0.85,natural
Dharwad pedha,IAB8 Food & Drink,0.85,natural
Double ka meetha,IAB8 Food & Drink,0.85,natural
Gavvalu,IAB8 Food & Drink,0.85,natural
Kakinada khaja,IAB8 Food & Drink,0.85,natural
Kuzhi paniyaram,IAB8 Food & Drink,0.85,natural
Mysore pak,IAB8 Food & Drink,0.85,natural
Obbattu holige,IAB8 Food & Drink,0.85,natural
Palathalikalu,IAB8 Food & Drink,0.85,natural
Poornalu,IAB8 Food & Drink,0.85,natural
Pongal,IAB8 Food & Drink,0.85,natural
Pootharekulu,IAB8 Food & Drink,0.85,natural
Qubani ka meetha,IAB8 Food & Drink,0.85,natural
Sheer korma,IAB8 Food & Drink,0.85,natural
Unni Appam,IAB8 Food & Drink,0.85,natural
Kajjikaya,IAB8 Food & Drink,0.85,natural
Anarsa,IAB8 Food & Drink,0.85,natural
