text,iab_label,confidence
south african clay beer pots,IAB8 Food & Drink,0.43
cast iron garden benches,IAB10 Home & Garden,0.34
organizing garden shed,IAB10 Home & Garden,0.41
balinese river stone garden tables,IAB10 Home & Garden,0.37
english wooden garden cold frames,IAB10 Home & Garden,0.39
garden dibbers wooden,IAB10 Home & Garden,0.31
english garden copper lanterns,IAB10 Home & Garden,0.54
tips for tracking workout progress,IAB17 Sports,0.3
vintage enamel tea kettles,IAB8 Food & Drink,0.32
french toile de jouy draperies,IAB17 Sports,0.31
greek mosaic garden borders,IAB10 Home & Garden,0.38
swiss cowbell wind chimes for garden,IAB10 Home & Garden,0.34
importance of mental toughness in fitness,IAB7 Health & Fitness,0.33
garden sculpture basalt,IAB10 Home & Garden,0.3
pilates vs yoga for toning,IAB7 Health & Fitness,0.33
how to fuel for long distance running,IAB17 Sports,0.56
bohemian festival flags,IAB1 Arts & Entertainment,0.32
russian cast iron garden benches,IAB10 Home & Garden,0.3
balinese coral stone garden walls,IAB10 Home & Garden,0.43
importance of core strength for runners,IAB17 Sports,0.51
indian phad painting garden screens,IAB10 Home & Garden,0.37
outdoor pizza oven kits,IAB8 Food & Drink,0.65
thai celadon pottery garden stools,IAB10 Home & Garden,0.35
balinese temple guardian statues,IAB23 Religion & Spirituality,0.39
scottish river pebble garden paths,IAB10 Home & Garden,0.37
tatami inspired entryway benches,IAB18 Style & Fashion,0.31
painted iron garden chairs,IAB10 Home & Garden,0.33
russian zarfs for tea glasses,IAB8 Food & Drink,0.55
importance of posture in fitness,IAB7 Health & Fitness,0.39
hydration packs for cycling,IAB17 Sports,0.61
woven sisal garden mats,IAB10 Home & Garden,0.33
nutrition tips for runners,IAB17 Sports,0.5
venetian glass mosaic garden tiles,IAB10 Home & Garden,0.36
how to track fitness progress,IAB17 Sports,0.37
fitness motivation quotes,IAB7 Health & Fitness,0.3
stretching routine after workout,IAB17 Sports,0.43
irish slate garden sculptures,IAB10 Home & Garden,0.38
ceramic garden stools,IAB10 Home & Garden,0.33
importance of consistency in fitness,IAB7 Health & Fitness,0.34
balcony foldable bistro sets,IAB8 Food & Drink,0.43
slate garden pathways,IAB10 Home & Garden,0.37
how to grow turnips indoors,IAB15 Science,0.3
cuban mosaic garden benches,IAB10 Home & Garden,0.31
how to improve running speed,IAB17 Sports,0.44
post workout stretching routine,IAB17 Sports,0.39
nutrition tips for weightlifters,IAB17 Sports,0.32
how to grow anise indoors,IAB15 Science,0.33
modular garden seating,IAB10 Home & Garden,0.31
malaysian coconut wood garden benches,IAB10 Home & Garden,0.3
painting ideas for nursery,IAB10 Home & Garden,0.32
chinese lattice garden screens,IAB10 Home & Garden,0.3
balinese temple umbrellas,IAB23 Religion & Spirituality,0.44
irish bog pine garden benches,IAB10 Home & Garden,0.32
english hand forged garden tools,IAB10 Home & Garden,0.33
turkish garden drinking fountains,IAB8 Food & Drink,0.32
growing bell peppers indoors,IAB10 Home & Garden,0.31
choosing pet friendly flooring,IAB16 Pets,0.67
portuguese cork yoga mats for garden use,IAB10 Home & Garden,0.33
crossfit workouts for beginners,IAB17 Sports,0.53
DIY garden hose holder,IAB10 Home & Garden,0.32
turkish suzani wall drapes,IAB18 Style & Fashion,0.3
balinese garden water spouts,IAB10 Home & Garden,0.38
how to build a garden fence,IAB10 Home & Garden,0.3
concrete garden planters,IAB10 Home & Garden,0.35
balinese carved garden gates,IAB10 Home & Garden,0.39
wicker garden storage boxes,IAB10 Home & Garden,0.4
english copper garden dibbers,IAB10 Home & Garden,0.33
calories burned doing yoga,IAB7 Health & Fitness,0.32
irish stone carved garden animals,IAB10 Home & Garden,0.38
