text,iab_label,confidence
irish linen damask garden covers,IAB10 Home & Garden,0.36
venetian mosaic tiled archways,IAB20 Travel,0.1
balcony suspended rope chairs,IAB20 Travel,0.08
thai bamboo leaf umbrellas,IAB18 Style & Fashion,0.13
portuguese blue ceramic planters,IAB10 Home & Garden,0.11
turkish handwoven wool poufs,IAB18 Style & Fashion,0.12
japanese bonsai trimming tools,IAB9 Hobbies & Interests,0.17
irish oak garden bench kits,IAB10 Home & Garden,0.24
venetian frosted glass garden panels,IAB10 Home & Garden,0.29
balinese carved coconut shell bowls,IAB8 Food & Drink,0.1
greek marble garden stools,IAB10 Home & Garden,0.35
swedish vintage wooden garden trays,IAB10 Home & Garden,0.15
turkish embroidered wall tapestries,IAB16 Pets,0.1
japanese cast iron garden kettles,IAB10 Home & Garden,0.19
irish linen embroidered table covers,IAB10 Home & Garden,0.1
venetian wrought iron garden gates,IAB10 Home & Garden,0.27
balcony extendable privacy screens,IAB24 Uncategorized,0.1
thai bamboo lantern covers,IAB10 Home & Garden,0.09
portuguese rustic olive jars,IAB8 Food & Drink,0.09
turkish hammered brass urns,IAB20 Travel,0.15
japanese moss ball kokedama hangers,IAB9 Hobbies & Interests,0.14
irish copper garden lanterns,IAB10 Home & Garden,0.25
venetian stained glass garden windows,IAB10 Home & Garden,0.38
balinese driftwood coffee tables,IAB8 Food & Drink,0.12
greek island clay planter pots,IAB10 Home & Garden,0.19
swedish birch bark flower baskets,IAB10 Home & Garden,0.14
turkish mosaic glass candle lamps,IAB16 Pets,0.1
japanese maple bonsai display cases,IAB9 Hobbies & Interests,0.15
irish stone carved garden animals,IAB10 Home & Garden,0.38
venetian glass mosaic floor lamps,IAB20 Travel,0.1
moroccan zellij tile wall art,IAB1 Arts & Entertainment,0.11
japanese kenzan ikebana pin frogs,IAB9 Hobbies & Interests,0.12
indian jharokha window frames,IAB18 Style & Fashion,0.14
turkish cezve copper coffee pots,IAB8 Food & Drink,0.5
french orangerie glasshouses,IAB8 Food & Drink,0.19
balinese gebyok carved doors,IAB20 Travel,0.09
italian sgraffito wall panels,IAB24 Uncategorized,0.08
zulu handwoven grass baskets,IAB18 Style & Fashion,0.11
korean hanji paper lanterns,IAB1 Arts & Entertainment,0.12
russian matryoshka garden planters,IAB10 Home & Garden,0.22
scandinavian hygge woven throws,IAB10 Home & Garden,0.09
brazilian panela clay cooking pots,IAB8 Food & Drink,0.14
indian jaali stone screens,IAB10 Home & Garden,0.1
greek kyma pattern border tiles,IAB10 Home & Garden,0.1
turkish kilim table runners,IAB17 Sports,0.14
japanese shikishi calligraphy boards,IAB14 Society,0.09
mexican talavera tile platters,IAB8 Food & Drink,0.18
vietnamese non la hanging decor,IAB24 Uncategorized,0.14
indian thali brass serving trays,IAB8 Food & Drink,0.11
balinese alang alang thatch mats,IAB23 Religion & Spirituality,0.11
russian khokhloma painted trays,IAB9 Hobbies & Interests,0.09
south african lapa firepits,IAB9 Hobbies & Interests,0.1
indian rangoli floor designs,IAB18 Style & Fashion,0.11
greek amphora garden urns,IAB10 Home & Garden,0.14
turkish suzani cushion covers,IAB18 Style & Fashion,0.14
indian kundan wall mirrors,IAB9 Hobbies & Interests,0.1
japanese noren fabric dividers,IAB20 Travel,0.07
moroccan riad mosaic fountains,IAB1 Arts & Entertainment,0.17
