text,iab_label,confidence
eli wallach good bad ugly star dies 98,IAB24 Uncategorized,0.11
australias rba keeps rates unchanged,IAB3 Business,0.15
susser holdings furiex pharmaceuticals astrazeneca todays 3,IAB15 Science,0.36
alicia keys swizz beatz expecting second child together,IAB6 Family & Parenting,0.59
nokias chennai manufacturing plant part microsoft deal,IAB3 Business,0.41
ebola death toll guinea rises 78,IAB16 Pets,0.13
facebook track users browser history ads,IAB24 Uncategorized,0.1
review samsung galaxy core great specs price,IAB19 Technology & Computing,0.47
country singer dies battling cancer,IAB24 Uncategorized,0.13
amazons new fire phone,IAB19 Technology & Computing,0.2
q2 earnings season begins us accuses two banks evading sanctions,IAB3 Business,0.33
winners 22nd annual mtv movie awards,IAB1 Arts & Entertainment,0.3
fbi reportedly probing herbalife,IAB12 News,0.29
forgotten freezer held much smallpox,IAB24 Uncategorized,0.2
lg g3 late yet awesome,IAB10 Home & Garden,0.09
kanye spent four days editing wedding photo,IAB1 Arts & Entertainment,0.21
mismanaged landing highly automated cockpit cause asiana crash,IAB2 Automotive,0.22
bachelor 2014 recap clare nikki receiving final rose,IAB12 News,0.18
yellen says fed hasnt met goals inflation unemployment,IAB12 News,0.22
walking dead star andrew lincoln dont ruin breaking bad,IAB1 Arts & Entertainment,0.24
bad air nothing new ohio valley,IAB24 Uncategorized,0.65
exnyt editor breaks silence,IAB24 Uncategorized,0.52
sp 500 caps worst twoday drop since june,IAB17 Sports,0.36
flash grant gustins full costume dc hero revealed,IAB12 News,0.24
6 times angelina jolie majestic maleficent,IAB1 Arts & Entertainment,0.16
one year factory collapse bangladeshi survivors still suffer,IAB12 News,0.23
priceline pays premium opentable,IAB20 Travel,0.18
hr giger alien artist surrealist dies 74,IAB12 News,0.15
miley cyrus says shes fighting fit resumes tour london cancelled,IAB20 Travel,0.5
science adding new element 117 periodic table,IAB15 Science,0.87
vic gundotra father google announces departure,IAB12 News,0.18
watch lg g3 unveiling live,IAB17 Sports,0.15
mad men season 7 premiere peggy breaks tears,IAB1 Arts & Entertainment,0.16
htc turn best android phone world windows,IAB19 Technology & Computing,0.34
mother pocketed 21000 donations faking cancer even family,IAB12 News,0.23
ipad 2 bids us farewell replaced fourthgeneration retina model,IAB19 Technology & Computing,0.31
whats revealing neil patrick harris naked cover rolling stone,IAB12 News,0.14
facebook raises revenue mobile ads,IAB3 Business,0.19
amazon vows fight ftc handles childrens inapp purchases,IAB19 Technology & Computing,0.26
tony award nominees announced,IAB12 News,0.1
microsoft admits reading bloggers hotmail part leak investigation,IAB19 Technology & Computing,0.28
thanks right forgotten google censors press eu,IAB24 Uncategorized,0.25
andrew sturrock bmx rider,IAB17 Sports,0.72
american idol 2014 spoilers win american idol 2014,IAB1 Arts & Entertainment,0.16
facebook striving grab market snapshot,IAB3 Business,0.11
paris bans cars tackle smog,IAB2 Automotive,0.3
loved pembrokeshire fantastic noah star russell crowe shares,IAB1 Arts & Entertainment,0.26
cirrus logic inc crus acquire wolfson microelectronics 467m,IAB19 Technology & Computing,0.25
miley cyrus stolen maserati found,IAB2 Automotive,0.86
gwyneth paltrow comments split husband,IAB12 News,0.19
obama makes surprise reversal obamacare,IAB12 News,0.34
sony entering realm virtual reality,IAB14 Society,0.31
gopro going public invest,IAB3 Business,0.43
epa goal mississippi cut carbon 38 percent 2030,IAB14 Society,0.13
gorgeous baby gorillas debut bronx zoo,IAB1 Arts & Entertainment,0.22
us job growth surges unemployment rate near six,IAB12 News,0.13
drowning backlog obamacares medicaid expansion may victim,"IAB11 Law, Gov’t & Politics",0.15
243mn individuals use illicit drugs 2013,IAB24 Uncategorized,0.19
apple announces new developer features,IAB12 News,0.19
mark zuckerberg warren buffett technology,IAB19 Technology & Computing,0.27
lg electronics net profit tv demand,IAB19 Technology & Computing,0.23
video xmen films hugh jackman new australian actor,IAB1 Arts & Entertainment,0.48
drake sings let go takes jab macklemore hosting espys,IAB1 Arts & Entertainment,0.37
check kate middletons curly hairdo pink dress,IAB18 Style & Fashion,0.35
lady gaga give keynote address sxsw,IAB17 Sports,0.41
fx orders new comedy baskets cocreated portlandia cocreator jonathan,IAB1 Arts & Entertainment,0.27
time warner cable inc nysetwc stock gets upgraded,IAB14 Society,0.31
southwest airlines announces new destinations 99,IAB12 News,0.45
us stocks mostly rise retail sales increase,IAB3 Business,0.17
autism speaks cfounder bob wright says cdc report shows need,IAB12 News,0.14
refinance mortgage interest rates chase bank sunday jul 6 2014,IAB12 News,0.27
mailbox 20 brings automated actions preference syncing via dropbox,IAB19 Technology & Computing,0.08
youtube buying game streaming startup twitch 1bl,IAB3 Business,0.2
google keep absolute control look feel android wear,IAB18 Style & Fashion,0.16
oculus vr sued elder scrolls owner zenimax,IAB24 Uncategorized,0.1
healthy county enter 2014 county health rankings,IAB12 News,0.13
iran dismisses american plane landed tehran,IAB20 Travel,0.19
pound hikes carney hints rate rise,IAB16 Pets,0.12
get cleveland kidnapping joke rivers,IAB12 News,0.17
us equities fall middle east tensions impact,IAB12 News,0.2
apple building tv maybe,IAB19 Technology & Computing,0.15
conans top monologue moments mtv movie awards,IAB1 Arts & Entertainment,0.32
led zeppelin iii trailer revealed,IAB20 Travel,0.17
doctor says kellys cancer treatable,IAB15 Science,0.27
last roles dead movie stars,IAB24 Uncategorized,0.19
argentina faces default second time 13 years vulture fund talks fail,IAB12 News,0.13
amazon takes exclusive us streaming rights 24 24 live another day,IAB3 Business,0.16
live space channel 4 show date time live streaming videos,IAB20 Travel,0.09
