text,iab_label,confidence
bamboo bath mats,IAB24 Uncategorized,0.13
floral chintz fabrics,IAB18 Style & Fashion,0.2
hand painted floor cloths,IAB10 Home & Garden,0.14
wicker porch swings,IAB18 Style & Fashion,0.13
concrete garden fountains,IAB10 Home & Garden,0.27
wool felt table mats,IAB10 Home & Garden,0.11
hand forged iron door handles,IAB2 Automotive,0.11
cotton crochet tablecloths,IAB9 Hobbies & Interests,0.12
wrought iron pot racks,IAB10 Home & Garden,0.11
ceramic garden stools,IAB10 Home & Garden,0.33
stenciled wall borders,IAB10 Home & Garden,0.09
vintage enamel light fixtures,IAB20 Travel,0.11
linen and lace window panels,IAB18 Style & Fashion,0.11
japanese origami pendant lights,IAB1 Arts & Entertainment,0.19
copper backsplash tiles,IAB10 Home & Garden,0.09
vintage scandinavian ceramics,IAB4 Careers,0.12
shaker style dining tables,IAB18 Style & Fashion,0.26
mid century modern credenzas,IAB18 Style & Fashion,0.1
woven bamboo shades,IAB18 Style & Fashion,0.15
hand thrown pottery planters,IAB9 Hobbies & Interests,0.2
french antique jardinières,IAB10 Home & Garden,0.13
rustic herringbone wood floors,IAB20 Travel,0.11
chinoiserie wallpaper panels,IAB24 Uncategorized,0.07
handwoven wool kilim runners,IAB18 Style & Fashion,0.17
painted iron garden arches,IAB10 Home & Garden,0.37
carved wood mantelpieces,IAB20 Travel,0.08
linen slipcovered armchairs,IAB18 Style & Fashion,0.1
vintage glazed pottery lamps,IAB20 Travel,0.13
patio mosaic dining sets,IAB8 Food & Drink,0.21
natural jute area rugs,IAB10 Home & Garden,0.14
vintage copper cookware,IAB8 Food & Drink,0.12
french country chandeliers,IAB18 Style & Fashion,0.11
tatami modular floor mats,IAB24 Uncategorized,0.11
outdoor teak lounge chairs,IAB20 Travel,0.12
scandinavian ceramic pendant lights,IAB17 Sports,0.11
handwoven wool kilim pillows,IAB18 Style & Fashion,0.12
rustic iron garden planters,IAB10 Home & Garden,0.24
mid century modern bar stools,IAB18 Style & Fashion,0.2
cotton velvet drapery panels,IAB18 Style & Fashion,0.1
antique cast iron stoves,IAB20 Travel,0.1
moroccan leather poufs,IAB18 Style & Fashion,0.12
french linen duvet covers,IAB18 Style & Fashion,0.12
concrete patio pavers,IAB10 Home & Garden,0.18
vintage brass table lamps,IAB20 Travel,0.1
bamboo garden screening,IAB10 Home & Garden,0.25
